,Recall,Country,Training Size
0,0.9784637473079684,ke,4096
1,0.9625312239800167,za,4096
2,0.6186094069529653,us,4096
3,0.9858429858429858,tz,4096
4,0.9825744800449691,in,4096
5,0.95849609375,ph,4096
6,0.9798994974874372,ke,8192
7,0.9650291423813488,za,8192
8,0.6186094069529653,us,8192
9,0.9858429858429858,tz,8192
10,0.9814502529510961,in,8192
11,0.96240234375,ph,8192
12,0.9798994974874372,ke,16384
13,0.9650291423813488,za,16384
14,0.6186094069529653,us,16384
15,0.9858429858429858,tz,16384
16,0.9814502529510961,in,16384
17,0.970947265625,ph,16384
