,Recall,Country,Training Size
0,0.5551948051948052,cy,4096
1,0.685546875,tr,4096
2,0.5620437956204379,de,4096
3,0.5955137481910275,us,4096
4,0.6060948081264108,gb,4096
5,0.7715665976535542,az,4096
6,0.5551948051948052,cy,8192
7,0.680908203125,tr,8192
8,0.5605839416058395,de,8192
9,0.5955137481910275,us,8192
10,0.6060948081264108,gb,8192
11,0.7736369910282954,az,8192
12,0.5551948051948052,cy,16384
13,0.690185546875,tr,16384
14,0.5605839416058395,de,16384
15,0.5955137481910275,us,16384
16,0.6060948081264108,gb,16384
17,0.7736369910282954,az,16384
