,Recall,Country,Training Size
0,0.9741620111731844,ke,4096
1,0.9518324607329843,za,4096
2,0.7992227979274611,us,4096
3,0.96142578125,id,4096
4,0.9866310160427807,tz,4096
5,0.9782913165266106,pk,4096
6,0.9753008233058899,ng,4096
7,0.919677734375,my,4096
8,0.9777472527472527,in,4096
9,0.9748603351955307,ke,8192
10,0.9528795811518325,za,8192
11,0.7992227979274611,us,8192
12,0.963623046875,id,8192
13,0.9914438502673797,tz,8192
14,0.976890756302521,pk,8192
15,0.9753008233058899,ng,8192
16,0.93505859375,my,8192
17,0.9777472527472527,in,8192
18,0.9748603351955307,ke,16384
19,0.9528795811518325,za,16384
20,0.7992227979274611,us,16384
21,0.970947265625,id,16384
22,0.990909090909091,tz,16384
23,0.976890756302521,pk,16384
24,0.9753008233058899,ng,16384
25,0.95166015625,my,16384
26,0.9774725274725274,in,16384
