,Recall,Country,Training Size
0,0.6229712858926342,ro,4096
1,0.50537109375,tr,4096
2,0.6171875,de,4096
3,0.58740234375,cz,4096
4,0.5259911894273128,hu,4096
5,0.527587890625,cn,4096
6,0.597412109375,nl,4096
7,0.636474609375,lv,4096
8,0.5146484375,es,4096
9,0.4793187347931874,lk,4096
10,0.7339331619537275,sg,4096
11,0.3597014925373134,ar,4096
12,0.62646484375,ca,4096
13,0.536865234375,am,4096
14,0.42748091603053434,cl,4096
15,0.46285289747399705,vn,4096
16,0.6318359375,fr,4096
17,0.5909090909090909,hr,4096
18,0.627685546875,ru,4096
19,0.668212890625,jp,4096
20,0.59619140625,kg,4096
21,0.6718516302722106,fi,4096
22,0.6094147582697201,gr,4096
23,0.61328125,ua,4096
24,0.629638671875,pt,4096
25,0.59619140625,us,4096
26,0.576904296875,th,4096
27,0.45569620253164556,pe,4096
28,0.48366013071895425,br,4096
29,0.7712264150943396,si,4096
30,0.5617095508068033,at,4096
31,0.5913838120104439,mx,4096
32,0.4990234375,kz,4096
33,0.650390625,cy,4096
34,0.6926184355490268,au,4096
35,0.64111328125,se,4096
36,0.7963525835866262,sa,4096
37,0.6961883408071748,nz,4096
38,0.4833029751062538,ch,4096
39,0.4616709732988803,eg,4096
40,0.46496815286624205,is,4096
41,0.598876953125,ee,4096
42,0.99169921875,mn,4096
43,0.48381400824014126,id,4096
44,0.6932173913043478,no,4096
45,0.7626953125,md,4096
46,0.556396484375,by,4096
47,0.465244322092223,in,4096
48,0.749267475931352,bg,4096
49,0.534430225472273,ae,4096
50,0.47265625,rs,4096
51,0.60498046875,pl,4096
52,0.57080078125,ge,4096
53,0.615966796875,il,4096
54,0.5526315789473685,be,4096
55,0.4936868686868687,lu,4096
56,0.57080078125,gb,4096
57,0.6961577350859454,sk,4096
58,0.8302439024390244,do,4096
59,0.9816247582205029,mk,4096
60,0.5252752752752753,az,4096
61,0.6196911196911197,ie,4096
62,0.5421869088157397,me,4096
63,0.5934579439252337,tj,4096
64,0.785400390625,uz,4096
65,0.5724962630792227,dk,4096
66,0.56689453125,lt,4096
67,0.7161117717003567,kr,4096
68,0.748291015625,it,4096
69,0.616729088639201,ro,8192
70,0.518798828125,tr,8192
71,0.622314453125,de,8192
72,0.598876953125,cz,8192
73,0.5286343612334802,hu,8192
74,0.54296875,cn,8192
75,0.61767578125,nl,8192
76,0.624267578125,lv,8192
77,0.53271484375,es,8192
78,0.4793187347931874,lk,8192
79,0.7416452442159382,sg,8192
