,Recall,Country,Training Size
0,0.5904392764857881,cr,4096
1,0.557861328125,nl,4096
2,0.5819909128459314,hu,4096
3,0.618896484375,es,4096
4,0.615629259427533,tr,4096
5,0.61962890625,de,4096
6,0.5271889400921659,cn,4096
7,0.5980210265924552,cz,4096
8,0.8043217286914766,ro,4096
9,0.586669921875,ar,4096
10,0.5818399044205496,sg,4096
11,0.5328767123287671,mt,4096
12,0.585693359375,ca,4096
13,0.68115234375,co,4096
14,0.59375,cl,4096
15,0.7588571428571429,ph,4096
16,0.5172932330827068,hr,4096
17,0.56396484375,fr,4096
18,0.3949416342412451,ru,4096
19,0.5927734375,jp,4096
20,0.4992548435171386,th,4096
21,0.517503805175038,gr,4096
22,0.5387673956262425,fi,4096
23,0.647705078125,pt,4096
24,0.57177734375,us,4096
25,0.5990271021542738,za,4096
26,0.560546875,uy,4096
27,0.6025730180806675,pe,4096
28,0.9156756756756756,ng,4096
29,0.635498046875,br,4096
30,0.69970703125,mx,4096
31,0.5341530054644809,at,4096
32,0.539794921875,py,4096
33,0.73486328125,mz,4096
34,0.572509765625,au,4096
35,0.5319528739735808,nz,4096
36,0.574951171875,se,4096
37,0.5993265993265994,eg,4096
38,0.6681792399319342,id,4096
39,0.6284032376747608,no,4096
40,0.5823798627002288,ee,4096
41,0.958984375,tz,4096
42,0.8277262180974478,ve,4096
43,0.7971590909090909,in,4096
44,0.5333556821991284,ae,4096
45,0.7654067378800329,cv,4096
46,0.5724137931034483,pl,4096
47,0.7404299947561616,pa,4096
48,0.5562700964630225,ec,4096
49,0.630113876001687,il,4096
50,0.521484375,be,4096
51,0.5162068965517241,lu,4096
52,0.587158203125,gb,4096
53,0.76171875,ao,4096
54,0.28451882845188287,sk,4096
55,0.7089508002371073,do,4096
56,0.5455259026687598,bo,4096
57,0.5849609375,ie,4096
58,0.570556640625,ch,4096
59,0.5597798899449725,dk,4096
60,0.5674967234600262,kr,4096
61,0.5546875,it,4096
62,0.5904392764857881,cr,8192
63,0.568603515625,nl,8192
64,0.6146220570012392,hu,8192
65,0.62158203125,es,8192
66,0.6419809177646524,tr,8192
67,0.616943359375,de,8192
68,0.5359447004608295,cn,8192
69,0.6054421768707483,cz,8192
70,0.8043217286914766,ro,8192
71,0.588623046875,ar,8192
72,0.5818399044205496,sg,8192
73,0.5328767123287671,mt,8192
74,0.608642578125,ca,8192
75,0.697509765625,co,8192
76,0.599609375,cl,8192
77,0.7588571428571429,ph,8192
78,0.5172932330827068,hr,8192
79,0.55810546875,fr,8192
80,0.3949416342412451,ru,8192
81,0.59326171875,jp,8192
82,0.4992548435171386,th,8192
83,0.5159817351598174,gr,8192
84,0.5455268389662028,fi,8192
85,0.65673828125,pt,8192
86,0.57373046875,us,8192
87,0.6004169562195969,za,8192
88,0.5615234375,uy,8192
89,0.605702364394993,pe,8192
90,0.9156756756756756,ng,8192
91,0.654296875,br,8192
92,0.710205078125,mx,8192
93,0.5519125683060109,at,8192
